type,price,timestamp
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110521.9,2025-11-01 20:00:00
support,109862.0,2025-11-01 21:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
support,109900.0,2025-11-02 00:00:00
resistance,110259.3,2025-11-02 02:00:00
support,109880.4,2025-11-02 02:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
support,109900.0,2025-11-02 00:00:00
resistance,110259.3,2025-11-02 02:00:00
support,109880.4,2025-11-02 02:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
support,103606.3,2025-11-04 09:00:00
support,103568.0,2025-11-04 13:00:00
support,102926.1,2025-11-04 14:00:00
support,102150.0,2025-11-04 16:00:00
support,100800.0,2025-11-04 17:00:00
support,100000.0,2025-11-04 18:00:00
support,99544.2,2025-11-04 20:00:00
support,98941.2,2025-11-04 21:00:00
resistance,102789.4,2025-11-05 12:00:00
resistance,103248.7,2025-11-05 13:00:00
resistance,103475.2,2025-11-05 14:00:00
resistance,103802.4,2025-11-05 15:00:00
resistance,104043.3,2025-11-05 16:00:00
resistance,104441.6,2025-11-05 18:00:00
resistance,104546.5,2025-11-05 19:00:00
resistance,110259.3,2025-11-02 02:00:00
support,109880.4,2025-11-02 02:00:00
resistance,110788.0,2025-11-02 04:00:00
resistance,111039.9,2025-11-02 07:00:00
resistance,111041.5,2025-11-02 09:00:00
resistance,111237.0,2025-11-02 11:00:00
resistance,111245.5,2025-11-02 12:00:00
support,109747.7,2025-11-02 16:00:00
support,109500.0,2025-11-02 22:00:00
support,109375.0,2025-11-03 01:00:00
support,108632.6,2025-11-03 02:00:00
support,107910.0,2025-11-03 03:00:00
support,107492.0,2025-11-03 04:00:00
support,107403.1,2025-11-03 05:00:00
support,107016.0,2025-11-03 06:00:00
support,106971.9,2025-11-03 08:00:00
support,106762.0,2025-11-03 10:00:00
support,105500.0,2025-11-03 15:00:00
support,105305.0,2025-11-03 16:00:00
support,104200.0,2025-11-04 05:00:00
support,104155.5,2025-11-04 06:00:00
support,103771.1,2025-11-04 08:00:00
